model,n,success_rate,median_eps,mean_eps,mean_best_conf_at_epsmax
Baseline (biased),20,0.2,0.04337890446186066,0.043535154312849045,0.5792919397354126
DANN Twostep,20,0.55,0.04453124850988388,0.0444495715200901,0.8177294731140137
CF Invar,20,0.65,0.04191406071186066,0.04130108654499054,0.8118403553962708
Saliency Chroma Masked,20,0.6,0.04419922083616257,0.04307617247104645,0.7779254913330078
